==========================================
==========       config      =============
==========================================
method:DANNE
pl:spa
gpu_id:7
s:0
t:1
output:san
seed:0
batch_size:128
worker:4
bottleneck_dim:64
max_epoch:30
momentum:0.3
K:5
smooth:0.1
tar_par:0.2
validate:False
net:mlp
dset:bailA
lr:0.01
ifcorrect:True
ifsvd:True
svd_par:1.0
laplac:laplac1
ap:gauss
weight_decay:1e-05
hidden:64
dropout:0.5
source_csv:./dataset/bailA/bailA_2.csv
target_csv:./dataset/bailA/bailA_1.csv
log_interval:10
eval_epoch:3.0
class_num:2
data_root:
s_dset_path:./dataset/bailA
t_dset_path:./dataset/bailA
test_dset_path:./dataset/bailA
output_dir:san/spa_0.2/bailA/BB
name:BB
log:DANNE
out_file:<_io.TextIOWrapper name='san/spa_0.2/bailA/BB/DANNE.txt' mode='w' encoding='UTF-8'>

==========================================

Iter 420/2640: total=1.23988, trans=0.60885, cls=0.60619, pl=0.01071, svd=0.01413, target_acc=80.63%, entropy=0.5576
Iter 430/2640: total=1.22858, trans=0.61777, cls=0.58520, pl=0.01102, svd=0.01458, target_acc=79.98%, entropy=0.5678
Iter 440/2640: total=1.22407, trans=0.61277, cls=0.58655, pl=0.01195, svd=0.01280, target_acc=80.26%, entropy=0.5644
Iter 450/2640: total=1.22764, trans=0.63599, cls=0.56595, pl=0.01265, svd=0.01304, target_acc=80.75%, entropy=0.5559
Iter 460/2640: total=1.19974, trans=0.60644, cls=0.55885, pl=0.01176, svd=0.02268, target_acc=80.86%, entropy=0.5529
Iter 470/2640: total=1.24679, trans=0.61556, cls=0.60176, pl=0.01292, svd=0.01655, target_acc=80.26%, entropy=0.5624
Iter 480/2640: total=1.17758, trans=0.61624, cls=0.53061, pl=0.01207, svd=0.01866, target_acc=80.09%, entropy=0.5662
Iter 490/2640: total=1.16607, trans=0.64035, cls=0.49626, pl=0.01198, svd=0.01749, target_acc=80.79%, entropy=0.5624
Iter 500/2640: total=1.22752, trans=0.61485, cls=0.59047, pl=0.01208, svd=0.01012, target_acc=81.29%, entropy=0.5585
Iter 510/2640: total=1.24591, trans=0.64966, cls=0.57005, pl=0.01448, svd=0.01173, target_acc=81.26%, entropy=0.5571
Iter 520/2640: total=1.23923, trans=0.64074, cls=0.56906, pl=0.01514, svd=0.01429, target_acc=80.72%, entropy=0.5638
Iter 530/2640: total=1.16453, trans=0.61142, cls=0.53091, pl=0.01173, svd=0.01047, target_acc=81.24%, entropy=0.5582
Iter 540/2640: total=1.20652, trans=0.64290, cls=0.52780, pl=0.01352, svd=0.02230, target_acc=81.10%, entropy=0.5607
Iter 550/2640: total=1.22658, trans=0.62840, cls=0.56534, pl=0.01585, svd=0.01700, target_acc=80.26%, entropy=0.5666
Iter 560/2640: total=1.17678, trans=0.62311, cls=0.52445, pl=0.01380, svd=0.01541, target_acc=80.36%, entropy=0.5645
Iter 570/2640: total=1.16490, trans=0.61057, cls=0.52807, pl=0.01405, svd=0.01222, target_acc=80.85%, entropy=0.5591
Iter 580/2640: total=1.15200, trans=0.62359, cls=0.50856, pl=0.01352, svd=0.00633, target_acc=80.77%, entropy=0.5559
Iter 590/2640: total=1.13689, trans=0.60915, cls=0.49892, pl=0.01374, svd=0.01508, target_acc=81.03%, entropy=0.5488
Iter 600/2640: total=1.23507, trans=0.62891, cls=0.57251, pl=0.01689, svd=0.01676, target_acc=81.27%, entropy=0.5425
Iter 610/2640: total=1.14849, trans=0.63833, cls=0.48238, pl=0.01599, svd=0.01180, target_acc=81.39%, entropy=0.5392
Iter 620/2640: total=1.22427, trans=0.61674, cls=0.58267, pl=0.01301, svd=0.01186, target_acc=81.02%, entropy=0.5452
Iter 630/2640: total=1.33989, trans=0.66029, cls=0.64960, pl=0.01414, svd=0.01585, target_acc=80.86%, entropy=0.5468
Iter 640/2640: total=1.14581, trans=0.63432, cls=0.48910, pl=0.01474, svd=0.00765, target_acc=80.58%, entropy=0.5504
Iter 650/2640: total=1.13277, trans=0.63911, cls=0.47013, pl=0.01480, svd=0.00873, target_acc=81.22%, entropy=0.5444
Iter 660/2640: total=1.21849, trans=0.63366, cls=0.55278, pl=0.01551, svd=0.01654, target_acc=81.13%, entropy=0.5444
Iter 670/2640: total=1.24006, trans=0.64665, cls=0.56718, pl=0.01292, svd=0.01331, target_acc=81.54%, entropy=0.5397
Iter 680/2640: total=1.19981, trans=0.62780, cls=0.54129, pl=0.01591, svd=0.01482, target_acc=81.18%, entropy=0.5444
Iter 690/2640: total=1.19520, trans=0.65162, cls=0.51058, pl=0.01464, svd=0.01836, target_acc=81.15%, entropy=0.5445
Iter 700/2640: total=1.25820, trans=0.64692, cls=0.58434, pl=0.01674, svd=0.01021, target_acc=81.41%, entropy=0.5408
Iter 710/2640: total=1.20831, trans=0.62980, cls=0.54386, pl=0.01475, svd=0.01990, target_acc=81.48%, entropy=0.5402
Iter 720/2640: total=1.28817, trans=0.67535, cls=0.57867, pl=0.01593, svd=0.01823, target_acc=81.67%, entropy=0.5377
Iter 730/2640: total=1.18146, trans=0.62539, cls=0.52889, pl=0.01418, svd=0.01300, target_acc=81.54%, entropy=0.5404
Iter 740/2640: total=1.16120, trans=0.64231, cls=0.49545, pl=0.01447, svd=0.00897, target_acc=81.31%, entropy=0.5417
Iter 750/2640: total=1.20428, trans=0.64648, cls=0.52867, pl=0.01641, svd=0.01271, target_acc=81.60%, entropy=0.5349
Iter 760/2640: total=1.21186, trans=0.64549, cls=0.53804, pl=0.01551, svd=0.01282, target_acc=82.08%, entropy=0.5277
Iter 770/2640: total=1.29496, trans=0.65099, cls=0.60256, pl=0.01816, svd=0.02325, target_acc=81.39%, entropy=0.5340
Iter 780/2640: total=1.22582, trans=0.65120, cls=0.54263, pl=0.01689, svd=0.01509, target_acc=80.59%, entropy=0.5401
Iter 790/2640: total=1.24771, trans=0.66734, cls=0.54376, pl=0.01804, svd=0.01857, target_acc=81.03%, entropy=0.5368
Iter 800/2640: total=1.31246, trans=0.66869, cls=0.62038, pl=0.01627, svd=0.00711, target_acc=80.86%, entropy=0.5333
Iter 810/2640: total=1.13247, trans=0.66189, cls=0.43590, pl=0.01854, svd=0.01613, target_acc=80.38%, entropy=0.5343
Iter 820/2640: total=1.20801, trans=0.66048, cls=0.51441, pl=0.01666, svd=0.01646, target_acc=80.72%, entropy=0.5297
