model	metric	mean +/- std
source_only	accuracy	86.76% +/- 0.36%
source_only	roc_auc	94.26% +/- 0.16%
source_only	parity	17.81% +/- 0.89%
source_only	equality	12.51% +/- 1.09%
strict_shot	accuracy	84.64% +/- 0.84%
strict_shot	roc_auc	93.23% +/- 0.40%
strict_shot	parity	24.42% +/- 2.17%
strict_shot	equality	16.84% +/- 5.80%
