model	metric	mean +/- std
source_only	accuracy	65.48% +/- 1.15%
source_only	roc_auc	72.87% +/- 0.97%
source_only	parity	2.50% +/- 1.93%
source_only	equality	2.09% +/- 1.86%
strict_shot	accuracy	54.98% +/- 1.32%
strict_shot	roc_auc	64.48% +/- 2.03%
strict_shot	parity	2.14% +/- 1.06%
strict_shot	equality	1.12% +/- 0.96%
